timestamp,topic_label,specific_issue,detection_confidence,reference_mode,reference_question_id,reference_question_text,best_state,final_match_score,mean_alignment,lexical_similarity,semantic_similarity,coverage,alignment_assessment_level,alignment_assessment_reason,recommendation_label,recommendation_reason,compliance_level,compliance_reason
2026-04-12 16:51:19,IVF,Apakah hukum bayi tabung uji yang menggunakan benih suami dan isteri yang sah?,High,,,,Muzakarah Majlis Kebangsaan,44.72,44.72,18.14,51.07,63.64,,,Partial Alignment,The response is partly aligned but still incomplete.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-12 16:53:12,Sperm Bank,Apakah hukum mewujudkan bank air mani menurut Islam?,High,,,,Muzakarah Majlis Kebangsaan,44.11,44.11,12.57,53.28,60.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-12 16:53:51,Human Milk Bank,Apakah syarat pelaksanaan bank susu ibu ?,High,,,,Perlis,45.46,45.46,14.13,58.34,46.15,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 16:55:02,Human Milk Bank,Adakah penyusuan melalui pendermaan susu ibu mewujudkan hubungan mahram susuan?,High,,,,Muzakarah Majlis Kebangsaan,47.51,47.51,18.99,58.77,50.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 16:59:12,IVF,Apakah hukum bayi tabung uji yang menggunakan benih daripada pihak ketiga selain suami isteri?,Medium,,,,Muzakarah Majlis Kebangsaan,48.01,48.01,19.62,53.09,75.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 17:01:37,Gamete Implantation for Reproduction,Apakah hukum mencantumkan benih untuk mendapatkan zuriat yang diambil dan dicantumkan dalam tempoh perkahwinan yang sah?,High,,,,Negeri Sembilan,52.04,52.04,28.07,50.03,100.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 17:02:24,IVF,Apakah hukum bayi tabung uji yang menggunakan benih daripada pihak ketiga selain suami isteri?,High,,,,Muzakarah Majlis Kebangsaan,47.2,47.2,14.82,56.87,62.5,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 17:03:28,IVF,Apakah hukum bayi tabung uji yang menggunakan benih daripada pihak ketiga selain suami isteri?,High,,,,Muzakarah Majlis Kebangsaan,50.16,50.16,17.24,57.67,75.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 17:04:45,IVF,Apakah hukum bayi tabung uji yang menggunakan benih daripada pihak ketiga selain suami isteri?,High,,,,Muzakarah Majlis Kebangsaan,55.84,55.84,34.41,56.86,87.5,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 17:06:03,IVF,Apakah hukum bayi tabung uji yang menggunakan benih daripada pihak ketiga selain suami isteri?,High,,,,Muzakarah Majlis Kebangsaan,47.2,47.2,14.82,56.87,62.5,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 17:07:43,IVF,Apakah hukum bayi tabung uji yang menggunakan benih daripada pihak ketiga selain suami isteri?,High,,,,Muzakarah Majlis Kebangsaan,49.45,49.45,14.55,57.6,75.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 17:12:47,Gamete Implantation for Reproduction,Apakah hukum memasukkan embrio ke dalam rahim isteri selepas berlaku kematian suami atau penceraian?,High,,,,Negeri Sembilan,65.48,65.48,47.19,64.47,100.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Partially Compliant,"The response is generally aligned, but it is still incomplete or not precise enough on some important conditions."
2026-04-12 17:34:38,Human Milk Bank,Apakah syarat pelaksanaan bank susu ibu ?,High,,,,Perlis,45.46,45.46,14.13,58.34,46.15,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 17:34:54,Human Milk Bank,Apakah syarat pelaksanaan bank susu ibu ?,High,,,,Perlis,40.36,40.36,8.11,50.43,53.85,,,Partial Alignment,The response is partly aligned but still incomplete.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-12 17:35:10,Human Milk Bank,Apakah syarat pelaksanaan bank susu ibu ?,High,,,,Perlis,43.59,43.59,15.38,48.93,69.23,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-12 17:35:26,Human Milk Bank,Apakah syarat penyusuan yang menyebabkan anak susuan menjadi mahram dan tidak boleh dikahwini?,High,,,,Muzakarah Majlis Kebangsaan,49.08,49.08,17.96,59.74,58.33,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 21:19:22,Sperm Bank,Apakah tindakan terhadap bank air mani yang telah sedia wujud?,Medium,,,,Muzakarah Majlis Kebangsaan,55.02,55.02,23.06,67.1,60.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 21:44:03,Surrogacy,Apakah hukum menggunakan kaedah khidmat ibu tumpang untuk mendapatkan zuriat menurut Islam?,High,,,,Wilayah Persekutuan,48.01,43.18,28.16,50.43,71.43,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 22:58:11,IVF,Apakah hukum bayi tabung uji yang menggunakan benih suami dan isteri yang sah?,Medium,,,,Muzakarah Majlis Kebangsaan,38.18,38.18,26.04,39.15,54.55,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-12 22:58:18,IVF,Apakah hukum bayi tabung uji yang menggunakan benih suami dan isteri yang sah?,High,,,,Muzakarah Majlis Kebangsaan,42.67,42.67,20.09,46.83,63.64,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-12 22:58:24,IVF,Apakah hukum bayi tabung uji yang menggunakan benih daripada pihak ketiga selain suami isteri?,Medium,,,,Muzakarah Majlis Kebangsaan,41.68,41.68,15.95,47.2,62.5,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-12 22:58:31,Sperm Bank,Apakah hukum mewujudkan bank air mani menurut Islam?,Medium,,,,Muzakarah Majlis Kebangsaan,57.36,57.36,34.65,61.17,80.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 22:58:37,Sperm Bank,Apakah hukum mewujudkan bank air mani menurut Islam?,High,,,,Muzakarah Majlis Kebangsaan,67.59,67.59,38.81,76.48,80.0,,,High Alignment,The response aligns well in meaning and includes most key fatwa conditions.,Partially Compliant,"The response is generally aligned, but it is still incomplete or not precise enough on some important conditions."
2026-04-12 22:58:44,Sperm Bank,Apakah hukum mewujudkan bank air mani menurut Islam?,High,,,,Muzakarah Majlis Kebangsaan,50.85,50.85,34.03,50.57,80.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 22:58:50,Sperm Bank,Apakah hukum permanian beradas menggunakan air mani manusia?,Low,,,,Muzakarah Majlis Kebangsaan,59.0,59.0,29.06,69.55,66.67,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-12 22:58:57,Sperm Bank,Apakah hukum permanian beradas menggunakan air mani manusia?,Medium,,,,Muzakarah Majlis Kebangsaan,60.8,60.8,34.32,68.28,75.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Partially Compliant,"The response is generally aligned, but it is still incomplete or not precise enough on some important conditions."
2026-04-12 22:59:04,Sperm Bank,Apakah hukum permanian beradas menggunakan air mani manusia?,Medium,,,,Muzakarah Majlis Kebangsaan,58.27,58.27,30.87,69.68,58.33,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 22:59:12,Sperm Bank,Apakah hukum penglibatan doktor atau pihak lain dalam bank air mani?,Medium,,,,Muzakarah Majlis Kebangsaan,72.39,72.39,54.37,75.08,91.67,,,High Alignment,The response aligns well in meaning and includes most key fatwa conditions.,Partially Compliant,"The response is generally aligned, but it is still incomplete or not precise enough on some important conditions."
2026-04-12 22:59:22,Sperm Bank,Apakah hukum penglibatan doktor atau pihak lain dalam bank air mani?,Low,,,,Muzakarah Majlis Kebangsaan,61.96,61.96,35.69,67.56,83.33,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-12 22:59:31,Sperm Bank,Apakah hukum penglibatan doktor atau pihak lain dalam bank air mani?,High,,,,Muzakarah Majlis Kebangsaan,56.43,56.43,46.04,54.03,83.33,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 23:20:13,Abortion of Foetus with Thalassemia,Apakah hukum pengguguran janin sebelum 120 hari yang didapati cacat atau menghidap penyakit Talasemia?,Low,,,,Sarawak,51.03,51.03,27.93,57.51,63.64,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-12 23:20:23,Abortion of Foetus with Thalassemia,Apakah hukum pengguguran janin sebelum 120 hari yang didapati cacat atau menghidap penyakit Talasemia?,Low,,,,Sarawak,51.45,51.45,26.11,56.68,72.73,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-12 23:20:34,Abortion of Foetus with Thalassemia,Apakah hukum pengguguran janin sebelum 120 hari yang didapati cacat atau menghidap penyakit Talasemia?,Low,,,,Sarawak,52.47,52.47,20.78,62.88,63.64,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-12 23:20:45,Sperm Bank,Apakah hukum penglibatan doktor atau pihak lain dalam bank air mani?,Medium,,,,Muzakarah Majlis Kebangsaan,72.39,72.39,54.37,75.08,91.67,,,High Alignment,The response aligns well in meaning and includes most key fatwa conditions.,Partially Compliant,"The response is generally aligned, but it is still incomplete or not precise enough on some important conditions."
2026-04-12 23:20:57,Sperm Bank,Apakah hukum penglibatan doktor atau pihak lain dalam bank air mani?,Low,,,,Muzakarah Majlis Kebangsaan,61.96,61.96,35.69,67.56,83.33,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-12 23:21:09,Sperm Bank,Apakah hukum penglibatan doktor atau pihak lain dalam bank air mani?,High,,,,Muzakarah Majlis Kebangsaan,56.43,56.43,46.04,54.03,83.33,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 23:21:18,Stem Cell Research,Apakah hukum penyelidikan dan rawatan menggunakan sel stem?,Low,,,,Muzakarah Majlis Kebangsaan,52.09,52.09,23.67,63.07,55.56,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-12 23:21:28,Stem Cell Research,Apakah hukum penyelidikan dan rawatan menggunakan sel stem?,Medium,,,,Muzakarah Majlis Kebangsaan,51.96,51.96,30.96,59.81,55.56,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 23:21:37,Stem Cell Research,Apakah hukum penyelidikan dan rawatan menggunakan sel stem?,High,,,,Muzakarah Majlis Kebangsaan,50.73,50.73,21.07,61.88,55.56,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 23:22:00,Abortion of Foetus with Thalassemia,Apakah hukum pengguguran janin sebelum 120 hari yang didapati cacat atau menghidap penyakit Talasemia?,Low,,,,Sarawak,51.03,51.03,27.93,57.51,63.64,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-12 23:22:09,Abortion of Foetus with Thalassemia,Apakah hukum pengguguran janin sebelum 120 hari yang didapati cacat atau menghidap penyakit Talasemia?,Low,,,,Sarawak,51.45,51.45,26.11,56.68,72.73,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-12 23:22:19,Abortion of Foetus with Thalassemia,Apakah hukum pengguguran janin sebelum 120 hari yang didapati cacat atau menghidap penyakit Talasemia?,Low,,,,Sarawak,52.47,52.47,20.78,62.88,63.64,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-12 23:22:29,Sperm Bank,Apakah hukum penglibatan doktor atau pihak lain dalam bank air mani?,Medium,,,,Muzakarah Majlis Kebangsaan,72.39,72.39,54.37,75.08,91.67,,,High Alignment,The response aligns well in meaning and includes most key fatwa conditions.,Partially Compliant,"The response is generally aligned, but it is still incomplete or not precise enough on some important conditions."
2026-04-12 23:22:40,Sperm Bank,Apakah hukum penglibatan doktor atau pihak lain dalam bank air mani?,Low,,,,Muzakarah Majlis Kebangsaan,61.96,61.96,35.69,67.56,83.33,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-12 23:22:51,Sperm Bank,Apakah hukum penglibatan doktor atau pihak lain dalam bank air mani?,High,,,,Muzakarah Majlis Kebangsaan,56.43,56.43,46.04,54.03,83.33,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 23:22:59,Stem Cell Research,Apakah hukum penyelidikan dan rawatan menggunakan sel stem?,Low,,,,Muzakarah Majlis Kebangsaan,52.09,52.09,23.67,63.07,55.56,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-12 23:23:08,Stem Cell Research,Apakah hukum penyelidikan dan rawatan menggunakan sel stem?,Medium,,,,Muzakarah Majlis Kebangsaan,51.96,51.96,30.96,59.81,55.56,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-12 23:23:16,Stem Cell Research,Apakah hukum penyelidikan dan rawatan menggunakan sel stem?,High,,,,Muzakarah Majlis Kebangsaan,50.73,50.73,21.07,61.88,55.56,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-13 14:30:56,IVF,Apakah hukum bayi tabung uji yang menggunakan benih suami dan isteri yang sah?,Medium,,,,Muzakarah Majlis Kebangsaan,38.18,38.18,26.04,39.15,54.55,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-14 14:20:20,Surrogacy,Apakah hukum menggunakan kaedah khidmat ibu tumpang untuk mendapatkan zuriat menurut Islam?,Low,,,,Wilayah Persekutuan,41.89,33.62,30.98,39.05,71.43,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-14 14:20:48,IVF,Apakah hukum bayi tabung uji yang menggunakan benih daripada pihak ketiga selain suami isteri?,Low,,,,Muzakarah Majlis Kebangsaan,34.39,34.39,27.22,27.22,75.0,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-14 14:22:29,IVF,Apakah hukum bayi tabung uji yang menggunakan benih suami dan isteri yang sah?,Medium,,,,Muzakarah Majlis Kebangsaan,38.18,38.18,26.04,39.15,54.55,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-14 14:22:54,IVF,Apakah hukum bayi tabung uji yang menggunakan benih daripada pihak ketiga selain suami isteri?,Medium,,,,Muzakarah Majlis Kebangsaan,41.68,41.68,15.95,47.2,62.5,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-14 14:23:38,Stem Cell Research,Apakah hukum penyelidikan dan rawatan menggunakan sel stem?,High,,,,Muzakarah Majlis Kebangsaan,50.73,50.73,21.07,61.88,55.56,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-14 14:24:06,Stem Cell Research,Apakah hukum penyelidikan dan rawatan menggunakan sel stem?,Medium,,,,Muzakarah Majlis Kebangsaan,51.96,51.96,30.96,59.81,55.56,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-14 14:24:38,Sperm Bank,Apakah hukum permanian beradas menggunakan air mani manusia?,Medium,,,,Muzakarah Majlis Kebangsaan,58.27,58.27,30.87,69.68,58.33,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-14 14:25:02,Sperm Bank,Apakah hukum mewujudkan bank air mani menurut Islam?,High,,,,Muzakarah Majlis Kebangsaan,50.85,50.85,34.03,50.57,80.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-14 14:26:16,Contraceptives for rape victims,Apakah hukum pemberian kontraseptif kepada mangsa rogol?,Low,,,,Pahang,47.54,47.54,22.6,51.96,71.43,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-14 14:26:32,Contraceptives for rape victims,Apakah hukum pemberian kontraseptif kepada mangsa rogol?,Low,,,,Pahang,48.66,48.66,15.74,56.68,71.43,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-14 14:27:02,Human Milk Bank,Adakah penyusuan melalui pendermaan susu ibu mewujudkan hubungan mahram susuan?,Medium,,,,Muzakarah Majlis Kebangsaan,51.87,51.87,23.01,64.37,50.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,The response does not provide enough reliable alignment evidence for a confident compliance judgment.
2026-04-14 14:27:39,Abortion for maternal health,Apakah hukum pengguguran kandungan jika nyawa ibu terancam?,Low,,,,Muzakarah Majlis Kebangsaan,59.48,59.48,33.62,68.46,66.67,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-14 14:29:48,Human Milk Bank,Apakah hukum penubuhan bank susu ibu menurut Islam?,High,,,,Muzakarah Majlis Kebangsaan,70.32,55.58,32.07,80.63,92.86,,,High Alignment,The response aligns well in meaning and includes most key fatwa conditions.,Partially Compliant,"The response is generally aligned, but it is still incomplete or not precise enough on some important conditions."
2026-04-14 14:30:45,IVF,Apakah hukum bayi tabung uji yang menggunakan benih suami dan isteri yang sah?,High,,,,Muzakarah Majlis Kebangsaan,67.04,67.04,56.75,63.09,100.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Partially Compliant,"The response is generally aligned, but it is still incomplete or not precise enough on some important conditions."
2026-04-14 14:31:35,IVF,Apakah hukum bayi tabung uji yang menggunakan benih suami dan isteri yang sah?,Low,,,,Muzakarah Majlis Kebangsaan,55.82,55.82,42.7,50.24,100.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-14 14:32:42,IVF,Apakah hukum bayi tabung uji yang menggunakan benih suami dan isteri yang sah?,High,,,,Muzakarah Majlis Kebangsaan,87.34,87.34,90.52,82.85,100.0,,,High Alignment,The response aligns well in meaning and includes most key fatwa conditions.,Fully Compliant,"The response is highly aligned with the selected fatwa, captures the main meaning correctly, and covers most important Shariah points."
2026-04-14 14:35:34,Sperm Bank,Apakah hukum mewujudkan bank air mani menurut Islam?,Medium,,,,Muzakarah Majlis Kebangsaan,20.59,20.59,2.4,28.31,20.0,,,Low Alignment,The response is not sufficiently aligned with the fatwa meaning.,Non-Compliant,The response is weakly aligned with the fatwa and may conflict with the expected ruling or omit core legal conditions.
2026-04-14 14:36:42,Sperm Bank,Apakah hukum penglibatan doktor atau pihak lain dalam bank air mani?,High,,,,Muzakarah Majlis Kebangsaan,65.46,65.46,36.37,68.95,100.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Partially Compliant,"The response is generally aligned, but it is still incomplete or not precise enough on some important conditions."
2026-04-14 14:38:11,Sperm Bank,Apakah hukum penglibatan doktor atau pihak lain dalam bank air mani?,High,,,,Muzakarah Majlis Kebangsaan,65.46,65.46,36.37,68.95,100.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Partially Compliant,"The response is generally aligned, but it is still incomplete or not precise enough on some important conditions."
2026-04-14 14:41:33,Sperm Bank,Apakah hukum penglibatan doktor atau pihak lain dalam bank air mani?,High,,,,Muzakarah Majlis Kebangsaan,65.46,65.46,36.37,68.95,100.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Partially Compliant,"The response is generally aligned, but it is still incomplete or not precise enough on some important conditions."
2026-04-14 14:42:11,IVF,Apakah hukum bayi tabung uji yang menggunakan benih suami dan isteri yang sah?,Low,,,,Muzakarah Majlis Kebangsaan,55.82,55.82,42.7,50.24,100.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
2026-04-14 14:42:54,IVF,Apakah hukum bayi tabung uji yang menggunakan benih suami dan isteri yang sah?,Low,,,,Muzakarah Majlis Kebangsaan,55.82,55.82,42.7,50.24,100.0,,,Partial Alignment,The response is partly aligned but still incomplete.,Unclear,"The response is too short or the detected topic confidence is low, so the system cannot judge compliance reliably."
